CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50041177,FIRSTLIVE STUDIO,Brooklyn,219,CENTRAL AVENUE,11221,9292109055,Other,09/24/2015,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,38,,,06/06/2024,Pre-permit (Non-operational) / Initial Inspection,40.697359420821,-73.92388148717,304,37,042100,3074096,3032550001,BK78,
50041177,FIRSTLIVE STUDIO,Brooklyn,219,CENTRAL AVENUE,11221,9292109055,Other,09/24/2015,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,38,,,06/06/2024,Pre-permit (Non-operational) / Initial Inspection,40.697359420821,-73.92388148717,304,37,042100,3074096,3032550001,BK78,
50041177,FIRSTLIVE STUDIO,Brooklyn,219,CENTRAL AVENUE,11221,9292109055,Other,09/24/2015,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,38,,,06/06/2024,Pre-permit (Non-operational) / Initial Inspection,40.697359420821,-73.92388148717,304,37,042100,3074096,3032550001,BK78,
40944945,Stage 42,Manhattan,422,WEST   42 STREET,10036,2125867610,American,09/24/2015,Establishment re-opened by DOHMH.,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,2,P,09/24/2015,06/06/2024,Cycle Inspection / Reopening Inspection,40.758823346411,-73.993607298864,104,03,011500,1087184,1010517501,MN15,
50041177,FIRSTLIVE STUDIO,Brooklyn,219,CENTRAL AVENUE,11221,9292109055,Other,09/24/2015,Violations were cited in the following area(s).,20D,"“Choking first aid” poster not posted. “Alcohol and pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",Not Critical,,,,06/06/2024,Administrative Miscellaneous / Initial Inspection,40.697359420821,-73.92388148717,304,37,042100,3074096,3032550001,BK78,
40944945,Stage 42,Manhattan,422,WEST   42 STREET,10036,2125867610,American,10/14/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,10/14/2015,06/06/2024,Cycle Inspection / Re-inspection,40.758823346411,-73.993607298864,104,03,011500,1087184,1010517501,MN15,
40944945,Stage 42,Manhattan,422,WEST   42 STREET,10036,2125867610,American,10/14/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,5,A,10/14/2015,06/06/2024,Cycle Inspection / Re-inspection,40.758823346411,-73.993607298864,104,03,011500,1087184,1010517501,MN15,
50041177,FIRSTLIVE STUDIO,Brooklyn,219,CENTRAL AVENUE,11221,9292109055,Other,10/15/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,,,06/06/2024,Pre-permit (Non-operational) / Re-inspection,40.697359420821,-73.92388148717,304,37,042100,3074096,3032550001,BK78,
50015538,AMERICAN AIRLINES THEATER,Manhattan,227,WEST   42 STREET,10036,2125825472,American,11/19/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,11/19/2015,06/06/2024,Cycle Inspection / Initial Inspection,40.756531035441,-73.988117422265,105,03,011900,1024683,1010140017,MN17,
50015538,AMERICAN AIRLINES THEATER,Manhattan,227,WEST   42 STREET,10036,2125825472,American,11/19/2015,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,12,A,11/19/2015,06/06/2024,Cycle Inspection / Initial Inspection,40.756531035441,-73.988117422265,105,03,011900,1024683,1010140017,MN17,
